ville_id,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
31816,78,tilly-78,TILLY,tilly,Tilly,T400,TL,78790,618,78618,1,08,6,542,440,500,69,7.8,1.575,48.8833,-845,54314,+13433,485256,109,152
31698,78,chanteloup-les-vignes,CHANTELOUP-LES-VIGNES,chanteloup les vignes,Chanteloup-les-Vignes,C5341421252,XNTLPLSFKNS,78570,138,78138,3,39,6,9626,9535,9300,2890,3.33,2.03333,48.9833,-340,54420,+20151,485842,38,171
31699,78,vieille-eglise-en-yvelines,VIEILLE-EGLISE-EN-YVELINES,vieille eglise en yvelines,Vieille-Église-en-Yvelines,V424251452,FLKLSNFLNS,78125,655,78655,2,18,6,811,742,800,84,9.6,1.87583,48.6695,-512,54077,+15233,484010,161,177
31700,78,sainte-mesme,SAINTE-MESME,sainte mesme,Sainte-Mesme,S53525,SNTMSM,78730,569,78569,2,19,6,942,863,900,115,8.16,1.95604,48.5299,-420,53923,+15732,483150,96,162
31701,78,chambourcy,CHAMBOURCY,chambourcy,Chambourcy,C5162,XMRS,78240,133,78133,3,21,6,5872,5071,6000,746,7.87,2.03333,48.9,-329,54340,+20225,485422,64,176
31702,78,chaufour-les-bonnieres,CHAUFOUR-LES-BONNIERES,chaufour les bonnieres,Chaufour-lès-Bonnières,C16421562,XFRLSBNRS,78270,147,78147,1,02,6,422,413,400,139,3.02,1.48333,49.0167,-948,54462,+12900,490058,133,158
31703,78,tertre-saint-denis,LE TERTRE-SAINT-DENIS,le tertre saint denis,Le Tertre-Saint-Denis,L363625352,LTRTRSNTTNS,78980,608,78608,1,02,6,114,101,100,39,2.91,1.61667,48.9333,-812,54376,+13620,485619,123,168
31704,78,breviaires,LES BREVIAIRES,les breviaires,Bréviaires,L216162,LSBRFRS,78610,108,78108,2,18,6,1261,1025,1100,64,19.55,1.81667,48.7,-581,54120,+14850,484228,139,186
31705,78,boissy-mauvoisin,BOISSY-MAUVOISIN,boissy mauvoisin,Boissy-Mauvoisin,B25125,BSMFSN,78200,082,78082,1,02,6,624,524,600,122,5.11,1.58333,48.9667,-843,54403,+13439,485746,70,163
31706,78,conde-sur-vesgre,CONDE-SUR-VESGRE,conde sur vesgre,Condé-sur-Vesgre,C5326126,KNTSRFSKR,78113,171,78171,1,08,6,1139,1043,1100,106,10.71,1.66667,48.7333,-751,54157,+13939,484430,105,175
31707,78,boinville-en-mantois,BOINVILLE-EN-MANTOIS,boinville en mantois,Boinville-en-Mantois,B514532,BNFLNMNTS,78930,070,78070,1,07,6,312,295,300,63,4.93,1.76667,48.9333,-644,54367,+14525,485550,56,145
31708,78,orcemont,ORCEMONT,orcemont,Orcemont,O6253,ORSMNT,78125,464,78464,2,18,6,847,827,900,80,10.49,1.81667,48.5833,-584,53987,+14838,483517,142,169
31709,78,rennemoulin,RENNEMOULIN,rennemoulin,Rennemoulin,R545,RNMLN,78590,518,78518,3,22,6,111,128,100,49,2.22,2.05,48.8333,-326,54260,+20235,485001,86,125
31710,78,adainville,ADAINVILLE,adainville,Adainville,A3514,ATNFL,78113,006,78006,1,08,6,759,824,800,74,10.16,1.65,48.7167,-760,54137,+13910,484322,105,184
31711,78,oinville-sur-montcient,OINVILLE-SUR-MONTCIENT,oinville sur montcient,Oinville-sur-Montcient,O5142653253,ONFLSRMNTSNT,78250,460,78460,1,10,6,1115,1131,1100,288,3.87,1.85,49.0333,-541,54475,+15058,490140,36,135
31712,78,bazainville,BAZAINVILLE,bazainville,Bazainville,B2514,BSNFL,78550,048,78048,1,08,6,1425,1191,1400,118,12.03,1.66667,48.8,-743,54227,+14004,484814,99,183
31713,78,meulan-en-yvelines,MEULAN-EN-YVELINES,meulan en yvelines,Meulan-en-Yvelines,M451452,MLNNFLNS,78250,401,78401,1,14,5,8855,8402,8700,2559,3.46,1.9,49.0167,-478,54451,+15423,490022,18,117
31714,78,rambouillet,RAMBOUILLET,rambouillet,Rambouillet,R5143,RMLT,78120,517,78517,2,18,4,26159,24789,25800,743,35.19,1.83333,48.65,-563,54049,+14948,483837,140,177
31715,78,marcq-78,MARCQ,marcq,Marcq,M620,MRKK,78770,364,78364,2,15,6,707,596,700,149,4.72,1.81667,48.8667,-575,54288,+14908,485134,117,172
31716,78,montesson,MONTESSON,montesson,Montesson,M325,MNTSN,78360,418,78418,3,30,6,15193,13754,15100,2064,7.36,2.15,48.9167,-208,54343,+20858,485431,23,56
